Heliophysics Knowledgebase Features/Events Specification (Last updated:31-Aug-2010 09:16:08),,,,,,,,,,,,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL_PeakEM,float,lllll,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Emission measure at peak time
FL_PeakEMUnit,string,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for FL_PeakEM
FL_EFoldTime,float,T,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Flare e-folding time
FL_EFoldTimeUnit,string,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for FL_EFoldTime (s)
FL_Fluence,float,Ell,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Fluence of flare
FL_FluenceUnit,string,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for FL_Fluence (e.g. erg/cm^2)
CD_Area,float,LL,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data,what,o,-,Maximum area of dimming
CD_AreaUncert,float,LL,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty of CD_Area
CD_AreaUnit,string,-,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for CD_Area ('millihemisphere' or 'steradians')'
CD_Volume,float,LLL,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Volume of dimming region
CD_VolumeUncert,float,LLL,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty of CD_Volume
CD_VolumeUnit,string,-,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for CD_Volume (e.g. 'cm^3')
CD_Mass,float,M,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Mass estimate calculated for dimming event
CD_MassUncert,float,M,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty for CD_Mass
CD_MassUnit,string,-,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for CD_Mass
FI_Length,float,L,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Length of Filament spine
FI_LengthUnit,string,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for FI_Length
FI_Tilt,float,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Mean tilt angle (in degrees) of the Filament spine (given as Skel_ChainCode) w.r. to solar equator
FI_BarbsTot,integer,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Total number of filament barbs
FI_BarbsR,integer,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Total number of Right Bearing Barbs
FI_BarbsL,integer,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Total number of Left Bearing Barbs
FI_Chirality,integer,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Chirality for filament (-1 for sinistral; +1 for dextral; 0 for ambiguous/uncertain)
FI_BarbsStartC1,string,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,List of Coord 1 of beginnings (closest to spine) of barbs (list delimited by commas for each numbered barb. e.g. 'x1text_comma x2text_comma x3')
FI_BarbsStartC2,string,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,List of Coord 2 of beginnings (closest to spine) of barbs (list delimited by commas for each numbered barb. e.g. 'y1text_comma y2text_comma y3')
FI_BarbsEndC1,string,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,List of Coord 1 of ends of barbs (list delimited by commas for each numbered barb. e.g. 'x1text_comma x2text_comma x3')
FI_BarbsEndC2,string,-,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,List of Coord 2 of ends of barbs (list delimited by commas for each numbered barb. e.g. 'y1text_comma y2text_comma y3')
SG_Shape,string,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,method,what,o,-,Shape of sigmoid
SG_Chirality,integer,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,method,what,o,-,Chirality of sigmoid (-1 for sinistral; +1 for dextral; 0 for ambiguous/uncertain)
SG_Orientation,float,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,method,what,o,-,Angular rotation (ccw in degrees) of the main axis of the sigmoid to the active region
SG_AspectRatio,float,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,method,what,o,-,TBD
SG_PeakContrast,float,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,method,what,o,-,TBD
SG_MeanContrast,float,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,method,what,o,-,TBD
OBS_FirstProcessingDate,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,-,Earliest date of all images considered part of the event
OBS_LastProcessingDate,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,-,Latest date of all images considered part of the event
OBS_LevelNum,float,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,-,Level of Data (e.g. 1.5) = LVL_NUM
OBS_IncludesNRT,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,-,"T" if any image in the event has the NRT flag (bit 30 in QUALITY)text_comma "F" otherwise
SS_SpinRate,float,t,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Spin/Rotation rate of sunspots
SS_SpinRateUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit Spin/Rotation rate of sunspots (e.g. Deg/day)
CC_MajorAxis,float,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,method,what,o,-,Length of major axis of elliptical fit to cavity
CC_MinorAxis,float,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,method,what,o,-,Length of minor axis of elliptical fit to cavity
CC_AxisUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,method,what,o,-,Unit of measure for major and minor axes. Typically Rsun
CC_TiltAngleMajorFromRadial,float,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,method,what,o,-,Angle between major axis and local disk-projected radial vectortext_comma measured clockwise from radial vector.
CC_TiltAngleUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,method,what,o,-,Unit of measure for CC_TiltAngleMaorFromRadial. Typicall deg.
